FolderServerRelativeURL,Users,Permission
/sites/UX-Portal/Apprenticeship  Skills/Applications/Entry Test Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Applications/Fact Sheets,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Applications/Marketing ,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Applications/Taster Day Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Impact/Destinations,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Impact/Results,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Impact/Student Voice,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Impact/Value Added & Progress,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Implementation/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Quality/Academic Board Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Quality/Board Of Study,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Quality/Course Reviews,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Quality/EV Reports,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Quality/Position Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Quality/SAR & QIP,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/Development Plan,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/Health & Safety,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/Organisational Chart,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/Planning Calendar,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/School Meetings,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/Staff Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/School Information/Teaching & Learning Hour,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Apprenticeship  Skills/Working Folder,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Applications/Entry Test Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Applications/Fact Sheets,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Applications/Marketing ,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Applications/Taster Day Materials,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Impact/Destinations,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Impact/Results,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Impact/Student Voice,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Impact/Value Added & Progress,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/AAT/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
